id,en,ar,d,cat,related
71,function overloading,زيادة تحميل اسم الوظيفة,إمكانُ الحصول على أكثر من مَسَاقٍ routine له نفس الاسم ضمن برنامجٍ واحد. تتميّز الوظائفُ بعضُها عن بعض بأنواع الموسِطات parameters أو نوع القيمة المعادة أو الاثنين معاً. يختار المصرِّفُ compiler الإصدارَ الصحيح آلياً اعتماداً على أنواع الموسطات والقيمة المعادة. فمثلاً، يمكن لبرنامج أن تكون له وظيفتان مثلثيّتان لحساب دالة الجيب، تأخذ إحداهما موسطاً من نوع فاصلة عائمة يمثِّل زاويةً معطاةً بالراديان، وتأخذ الأخرى موسطاً من نوع عدد صحيح يمثِّل زاوية معطاة بالدرجة. في مثل هذا البرنامج يعطي (sin(3.14159/2.0 القيمةَ 1.0، (لأن جيب الزاوية 3.14159/2 راديان تساوي 1) على حين يعطي (sin(30 القيمة 0.5 (لأن جيب الزاوية 30 درجة يساوي 0.5).,19|24,243
72,functional design,تصميم وظيفي,توصيفُ العلاقات بين الأجزاء العاملة من نظام حاسوبي، ويَشمل ذلك تفاصيلَ المكوِّنات المنطقية وطريقةَ عملها بعضها مع بعض. يُعرَض التصميمُ الوظيفيُّ بيانياً على شكل مخططٍ وظيفي يَستعمِلُ رموزاً خاصةً لتمثيل عناصر النظام.,24,
73,functional programming,برمجة وظيفية,أسلوبٌ في البرمجة تُقدَّم فيه جميعُ الإمكانات على شكل وظائف ليس لها عادةً أيّ آثار جانبية. تَفتقر لغاتُ البرمجة الوظيفية الصرفة إلى عبارة الإسناد التقليدية، التي يستعاضُ عنها باستعمال عمليات النسخ والتعديل. يُعتقَد أن لغات البرمجة الوظيفية تقدِّم ميزات إضافية للحواسيب ذات المعالجة المتوازية.,19|24,4351
74,Functional Redundancy Checking,تدقيق التكرارية الوظيفية,استخدامُ معالِجَيْن مترادفَين للتحقق من النتائج. أحدهما يُضبَط بوصفه سيِّداً (أو رئيساً) والآخر مترقباً. يَتلقَّى المعالجان التعليمات نفسها، وتُقارَن النتائجُ فيما بينها للتحقق من دقتها.,21,
75,functional specification,توصيف وظيفي,وصفٌ لمدى وأهداف وأنواع العمليات الواجب اعتبارها في تطوير نظام تولِّي handling المعلومات.,7,
76,general-purpose language,لغة متعددة الاستخدامات,لغةُ برمجةٍ مثل Ada، أو BASIC، أو C، أو Pascal مصمَّمةٌ لتشكيلةٍ متنوعة من التطبيقات والاستعمالات، على عكس لغة SQL المصمَّمة لتُستعمَلَ مع قواعد المعطيات فقط.,19,
77,global,شامل ، شمولي,متعلِقٌ بكامل الوثيقة (أو الملف أو البرنامج)، وليس مقصوراً فقط على مقتطَعٍ منه.,19,
78,global operation,عملية شاملة,عمليةٌ (مثل البحث والاستبدال) تؤثِّر في كامل وثيقة أو برنامج أو غرض آخر (قرص مثلاً).,26,
79,global variable,متغيِّر عام,متغيِّرٌ يمكِن الوصولُ إلى قيمته وتعديلها من قبل أيِّ عبارة في البرنامج، وليس فقط من قبل مَسَاقٍ routine وحيدٍ عُرِّفَ ضمنه.,19,77
80,GOTO statement,عبارة GOTO,عبارةُ تحكّمٍ تُستعمَلُ في البرامج لتحويل التنفيذ إلى تعليمات أخرى، وهي المكافئُ العالي المستوى لتعليمة التفرع أو القفز. لا يُنصح عموماً باستعمال عبارة GOTO لأنها تجعل من الصعب على المبرمج أن يتابع منطق البرنامج، كما تجعل من الصعب على المصرِّف compiler أن يُوَلّد رِمَازاً code مُسْتمثَلاً optimized.,19,58|4060|5475
81,graph,مِبْيان,في البرمجة: بنيةُ معطيات لها عددٌ من العُقد (يمكن أن يكون معدوماً) وعددٌ من الحافَات (يمكن أن يكون معدوماً) تَربطُ أزواجاً من العُقد. إذا أمكن ربْطُ أيّ عقدتين من المبيان بمسار، قيل عن المبيان إنه متصل. أما المبيان الجزئي subgraph فهو مجموعة جزئية من عُقد وحافَات المبيان. نقول عن المبيان إنه موجّه digraph إذا رَبطتْ كلُّ حافَةٍ عقدتين باتجاهٍ واحدٍ فقط. ونقول عن المبيان إنه موزون weighted إذا كان لكلّ حافَةٍ بعض القيم المرتبطة بها.,7,2499|4852
82,grovel,1 يَدِبّ ، 2 يَدِبّ,"1- يَبحثُ أو يَعملُ عملاً آخرَ يجري على نطاقٍ واسع دون تقدم ملحوظ. تَدِبّ بعضُ البرامج عبر ملفِّ الدخل كلِّه قبل أن تبدأ بتوليد أيّ خرج. يمكِن أن يضطرّ المبرمجُ لأن يَدِبّ عبر كتيّبات بحثاً عن توثيقٍ لأمرٍ معيّن، أو أن يدب عبر رِمَازٍ code بحثاً عن الأخطاء.
2- يُرسِلُ التماساً لخدمةٍ معيّنة إلى مجموعةٍ أخبارية.",24,
83,handle,1 مقبض (مؤشِّر مضاعف) ؛ 2 مقبض ؛ 3 مقبض,1- مؤشِّرٌ إلى مؤشِّر؛ أيْ متغيِّرٌ يحوي عنوانَ متغيِّرٍ آخر يحوي بدوره عنوانَ العنصرِ المرغوبِ فيه. في بعض أنظمة التشغيل يشير المقبضُ إلى مؤشر مخزَّن في موضعٍ ثابت في الذاكرة، على حين يشير المؤشرُ إلى كتلةٍ متحركة. إذا انطلقت البرامجُ من مقابض (في كلِّ مرة تريد فيها أن تصل إلى الكتلة)، كان بإمكان نظام التشغيل أن يُنفِّذ مهمات إدارة الذاكرة (مثل جمع الفضلات garbage collection) دون التأثير في البرنامج.,17|19,1736
84,handler,1 متولٍّ، متناول ؛ 2 متولٍّ، متناول,"1- مَسَاقٌ routine يعالِجُ شروطاً أو عملياتٍ عامةً وبسيطةً نسبياً، مثل تصويب الأخطاء ونقل المعطيات.
2- في بعض لغات البرمجة الغرضية التوجّه التي تتقبَّل الرسائل: مَسَاقٌ فرعيٌّ يعالِج رسالةً معيّنةً لصفٍّ معيّن من الأغراض.",19,234|2438
85,hard-coded,1 صلب الترميز ؛ 2 صلب الترميز,"1- مصمَّمٌ لمعالجةِ حالةٍ محدَّدة فقط.
2- متعلِقٌ بقيمٍ متضمَّنة في رِمَاز البرنامج، لا بقيمٍ يستطيع المستخدِمُ إدخالَها وتعديلَها.",25,
86,database segment,مُقتطَع قاعدة معطيات,انظر: segment.,,
87,logical segment,مُقتطَع منطقي,مُقتطَعٌ في قاعدة معطيات منطقية.,,
88,hardware-dependent,معتمِدٌ على العتاديات,صفةٌ للبرامج أو اللغات أو مكوِّنات الحاسوب وتجهيزاته المرتبطة بنظام أو تشكيل حاسوبي. فلغةُ التجميع مثلاً، معتمِدة على العتاديات، لأنها أنشئت من أجل بنية أو طراز معيّن للمعالج الصغري تعمل معه فقط.,4,
89,hash search,بحثٌ بالتلبيد,خوارزميةُ بحثٍ تَستعمِلُ التلبيدَ لإيجاد عنصر من القائمة. إن البحثَ بالتلبيد فعّالٌ جداً، لأنه يَسمح بالوصول المباشر (أو شبه المباشر) إلى العنصر المطلوب.,19,90|143|4193|5381
90,hash,يُلبِّد,يُقابِلُ مع قيمة عددية عن طريق تحويلٍ يُعرَفُ بتابع التلبيد. يُستعمَلُ التلبيدُ لتحويلِ معيِّنِ الهوية (أو مفتاحٍ ذي معنى للمستخدم) إلى قيمةٍ تدلّ على موضعِ المعطيات الموافقة ضمن بنية (جدول مثلاً). فمثلاً، إذا أخذنا المفتاح MOUSE مع تابع التلبيد الذي يَجمع القيمَ ASCII للمحارف، ويقسم الناتجَ الكلي على 127، ويأخذ باقي القسمة، فإن المفتاحَ MOUSE يُلبِّد إلى القيمة 12، وتكون المعطياتُ المحددةُ بـ MOUSE موجودةً في المدخل رقم 12 من الجدول.,1|24,
91,header,1 ترويسة ؛ 2 ترويسة,1- في معالجة النصوص أو الطباعة: نصٌّ يَظهرُ في أعلى الصفحات. يمكِن تعيينُ ترويسةٍ للصفحة الأولى، أو لجميع الصفحات ما عدا الأولى، أو للصفحات الفردية أو الزوجية. تتضمّن الترويسةُ عادةً رقمَ الصفحة، ويمكن أن تحتوي أيضاً على التاريخ أو العنوان أو معلومات أخرى عن الوثيقة.,3|26,
92,header file,ملف ترويسي,ملفٌّ يجب تضمينُه في بداية برنامجٍ في لغة مثل C ويحتوي على تعاريف أنواع المعطيات والمتغيِّرات المستعمَلة من قبل الوظائف في البرنامج.,19,
93,header label,لصيقة ترويسية,بنيةٌ ابتدائيةٌ (مثل تسجيلة افتتاح) ضمن التنظيم الخطيّ لملفّ أو اتصال، تَصف طولَ المعطيات اللاحقة ونوعَها وبنيتَها .,3,
94,header record,تسجيلة ترويسية,التسجيلةُ الأولى ضمن متتالية من التسجيلات.,7,
95,heap,1 مَكدس ؛ 2 كومة,1- جزءٌ من الذاكرة محجوزٌ لبرنامجٍ لاستعماله في تخزين بنى المعطيات المؤقّتة التي لا يمكِن تحديدُ وجودها أو حجمها إلا أثناء تنفيذ البرنامج. لبناء واستعمال مثل هذه العناصر، تتضمّن لغاتُ البرمجة (مثل C وPascal) وظائفَ وإجراءاتٍ لطلب ذاكرة حرة من مكدس والنفاذ إليها، ثم تحريرها عندما تنتهي الحاجة إليها. وعلى عكس ذاكرة الكدسة stack لا تُحرَّرُ كتلُ المكدس بالترتيب العكسي لتحصيصها، ولذلك فالكتلُ الحرةُ تتناثر ضمن الكتل المستعمَلة. وحين يتابع البرنامجُ عملَه، فإن الكتلَ الحرةَ الصغيرةَ تحتاج أحياناً إلى تغيير مواقعها بحيث يمكِن مرجُها merged معاً في كتلٍ كبيرة لسدّ حاجات البرنامج.,17|19,
96,heap sort,فرز بالتكديس,طريقةُ فرزٍ فعّالة من حيث مِساحة التخزين، تبدأ بترتيب حقول المفاتيح ضمن بنية مكدس، ثم تقوم بتكرار حذف جذر المكدس الذي يجب أن يحتوي (بالتعريف) على أكبر مفتاح، ثم تعيد تشكيل المكدس.,19|25,95
